session,condition,timestamp,quiz_set,round,question_id,question_position,selected_index,correct_index,is_correct,response_time_sec
P12-Airpods,Airpods,2026-03-25 14:25:53.523,A,1,21,1,0,0,True,29.613
P12-Airpods,Airpods,2026-03-25 14:26:17.991,A,1,20,2,2,1,False,24.468
P12-Airpods,Airpods,2026-03-25 14:29:05.161,A,2,3,3,0,3,False,41.265
P12-Airpods,Airpods,2026-03-25 14:29:45.327,A,2,24,4,3,3,True,40.166
P12-Airpods,Airpods,2026-03-25 14:31:42.975,A,3,5,5,1,1,True,19.051
P12-Airpods,Airpods,2026-03-25 14:32:19.802,A,3,4,6,1,1,True,36.827
P12-No-Airpods,No_Airpods,2026-03-25 14:46:08.196,B,1,7,1,1,1,True,15.610
P12-No-Airpods,No_Airpods,2026-03-25 14:46:41.129,B,1,4,2,0,0,True,32.933
P12-No-Airpods,No_Airpods,2026-03-25 14:47:10.544,B,1,3,3,1,3,False,29.415
P12-No-Airpods,No_Airpods,2026-03-25 14:49:26.559,B,2,21,4,1,1,True,33.963
P12-No-Airpods,No_Airpods,2026-03-25 14:50:03.917,B,2,8,5,2,2,True,37.358
P12-No-Airpods,No_Airpods,2026-03-25 14:52:02.961,B,3,2,6,0,0,True,10.346
P12-No-Airpods,No_Airpods,2026-03-25 14:52:22.497,B,3,19,7,3,3,True,19.536
P12-No-Airpods,No_Airpods,2026-03-25 14:52:58.875,B,3,14,8,3,2,False,36.378
P3_Airpods,Airpods,2026-03-24 14:33:36.543,A,1,2,1,1,1,True,9.795
P3_Airpods,Airpods,2026-03-24 14:33:44.685,A,1,4,2,0,1,False,8.142
P3_Airpods,Airpods,2026-03-24 14:33:54.884,A,1,1,3,1,1,True,10.199
P3_Airpods,Airpods,2026-03-24 14:34:14.994,A,1,8,4,2,2,True,20.110
P3_Airpods,Airpods,2026-03-24 14:34:27.031,A,1,3,5,3,3,True,12.037
P3_Airpods,Airpods,2026-03-24 14:36:39.567,A,2,9,6,1,3,False,12.654
P3_Airpods,Airpods,2026-03-24 14:36:57.715,A,2,10,7,3,3,True,18.148
P3_Airpods,Airpods,2026-03-24 14:37:11.235,A,2,6,8,1,1,True,13.520
P3_Airpods,Airpods,2026-03-24 14:37:16.352,A,2,-1,9,3,3,True,5.117
P3_Airpods,Airpods,2026-03-24 14:37:23.528,A,2,5,10,1,1,True,7.176
P3_Airpods,Airpods,2026-03-24 14:37:46.783,A,2,12,11,0,1,False,23.255
P3_Airpods,Airpods,2026-03-24 14:39:44.060,A,3,13,12,2,2,True,17.336
P3_Airpods,Airpods,2026-03-24 14:40:13.712,A,3,7,13,1,1,True,29.652
P3_Airpods,Airpods,2026-03-24 14:40:37.149,A,3,11,14,3,3,True,23.437
P3_No_Airpods,No_Airpods,2026-03-24 15:03:51.904,B,1,12,1,2,2,True,20.604
P3_No_Airpods,No_Airpods,2026-03-24 15:03:57.463,B,1,4,2,2,2,True,5.559
P3_No_Airpods,No_Airpods,2026-03-24 15:04:31.721,B,1,13,3,1,1,True,34.258
P3_No_Airpods,No_Airpods,2026-03-24 15:04:42.721,B,1,3,4,2,2,True,11.000
P3_No_Airpods,No_Airpods,2026-03-24 15:04:57.360,B,1,1,5,3,3,True,14.639
P3_No_Airpods,No_Airpods,2026-03-24 15:06:39.513,B,2,-1,6,3,3,True,8.213
P3_No_Airpods,No_Airpods,2026-03-24 15:06:57.596,B,2,7,7,1,1,True,18.083
P3_No_Airpods,No_Airpods,2026-03-24 15:07:08.630,B,2,9,8,3,3,True,11.034
P3_No_Airpods,No_Airpods,2026-03-24 15:09:48.979,B,3,11,9,1,0,False,17.658
P3_No_Airpods,No_Airpods,2026-03-24 15:09:54.855,B,3,2,10,2,2,True,5.876
