participant,temporal_all,temporal_left,temporal_right,temporal_up,keyword_all,keyword_left,keyword_right,keyword_up,keyword2_all,keyword2_left,keyword2_right,keyword2_up,sentence_all,sentence_left,sentence_right,sentence_up,word_all,word_left,word_right,word_up
p1,43,41,2,0,60,59,1,0,91,89,2,0,34,33,1,0,88,88,0,0
p2,66,51,15,0,62,62,0,0,188,156,32,0,75,75,0,0,84,84,0,0
p3,20,19,1,0,75,72,3,0,99,98,1,0,36,34,2,0,116,96,20,0
p4,43,37,6,0,66,57,9,0,96,82,14,0,150,116,34,0,135,125,10,0
p5,33,29,2,2,104,101,3,0,110,107,3,0,114,86,28,0,89,79,10,0
p6,39,31,8,0,46,45,1,0,139,126,13,0,78,63,15,0,71,70,1,0
p7,55,45,9,1,63,61,2,0,63,63,0,0,46,46,0,0,80,79,1,0
p8,61,45,16,0,57,46,3,8,126,105,18,3,35,33,2,0,170,140,29,1
p9,76,58,18,0,76,69,7,0,177,128,49,0,113,93,20,0,142,120,22,0
p10,41,38,3,0,66,61,2,3,93,79,12,2,56,51,5,0,106,101,5,0
p11,36,32,4,0,61,61,0,0,104,101,3,0,43,40,3,0,80,79,1,0
p12,24,24,0,0,96,87,9,0,80,80,0,0,51,51,0,0,162,159,2,1
p13,36,32,4,0,96,87,9,0,78,77,1,0,47,45,2,0,124,116,8,0
p14,19,19,0,0,67,67,0,0,58,58,0,0,59,54,5,0,91,91,0,0
p15,29,26,3,0,104,81,23,0,81,75,3,3,102,81,20,1,88,84,4,0
