participant,condition,left,right,up
p1,temporal,41,2,0
p10,temporal,38,3,0
p11,temporal,32,4,0
p12,temporal,24,0,0
p13,temporal,32,4,0
p14,temporal,19,0,0
p15,temporal,26,3,0
p2,temporal,51,15,0
p3,temporal,19,1,0
p4,temporal,37,6,0
p5,temporal,29,2,2
p9,temporal,58,18,0
p1,keyword,59,1,0
p10,keyword,61,2,3
p11,keyword,61,0,0
p12,keyword,87,9,0
p13,keyword,87,9,0
p14,keyword,67,0,0
p15,keyword,81,23,0
p2,keyword,62,0,0
p3,keyword,72,3,0
p4,keyword,57,9,0
p5,keyword,101,3,0
p9,keyword,69,7,0
p1,keyword2,89,2,0
p10,keyword2,79,12,2
p11,keyword2,101,3,0
p12,keyword2,80,0,0
p13,keyword2,77,1,0
p14,keyword2,58,0,0
p15,keyword2,75,3,3
p2,keyword2,156,32,0
p3,keyword2,98,1,0
p4,keyword2,82,14,0
p5,keyword2,107,3,0
p9,keyword2,128,49,0
p1,sentence,33,1,0
p10,sentence,51,5,0
p11,sentence,40,3,0
p12,sentence,51,0,0
p13,sentence,45,2,0
p14,sentence,54,5,0
p15,sentence,81,20,1
p2,sentence,75,0,0
p3,sentence,34,2,0
p4,sentence,116,34,0
p5,sentence,86,28,0
p9,sentence,93,20,0
p1,word,88,0,0
p10,word,101,5,0
p11,word,79,1,0
p12,word,159,2,1
p13,word,116,8,0
p14,word,91,0,0
p15,word,84,4,0
p2,word,84,0,0
p3,word,96,20,0
p4,word,125,10,0
p5,word,79,10,0
p9,word,120,22,0
