participant_id,condition,audio,task_index,word_search_type,outcome,distance_seconds,word_search_success,word_search_failure,word_search_time_sec
p0,discontinuous,6.mp3,1,long,spacebar,0.6380549999999996,True,False,12.052
p0,discontinuous,6.mp3,2,short,spacebar,1.0694600000000065,True,False,9.405
p0,discontinuous,6.mp3,3,long,spacebar,1.3765999999999963,True,False,21.388
p0,discontinuous,6.mp3,4,long,spacebar,0.8634329999999864,True,False,27.316
p0,discontinuous,6.mp3,5,short,spacebar,1.0115649999999619,True,False,42.369
p0,keyword2,8.mp3,1,short,timeout,,False,True,
p0,keyword2,8.mp3,2,short,spacebar,1.505714999999995,True,False,6.323
p0,keyword2,8.mp3,3,short,spacebar,0.5490150000000256,True,False,4.426
p0,keyword2,8.mp3,4,long,spacebar,0.6074590000000057,True,False,26.016
p0,keyword2,8.mp3,5,short,spacebar,0.5542590000000018,True,False,4.523
p0,keyword,7.mp3,1,long,spacebar,0.6039689999999993,True,False,3.71
p0,keyword,7.mp3,2,short,spacebar,0.8475920000000059,True,False,1.569
p0,keyword,7.mp3,3,short,spacebar,0.5855949999999837,True,False,2.248
p0,keyword,7.mp3,4,long,spacebar,1.1075419999999951,True,False,9.734
p0,keyword,7.mp3,5,long,spacebar,0.5234809999999754,True,False,16.36
p0,sentence,10.mp3,1,short,spacebar,0.6045190000000034,True,False,12.754
p0,sentence,10.mp3,2,short,spacebar,1.039393000000004,True,False,2.584
p0,sentence,10.mp3,3,long,spacebar,0.613472999999999,True,False,35.439
p0,sentence,10.mp3,4,short,spacebar,0.9499449999999854,True,False,3.893
p0,sentence,10.mp3,5,short,spacebar,0.6106899999999769,True,False,44.843
p0,word,9.mp3,1,short,spacebar,0.5725529999999992,True,False,8.658
p0,word,9.mp3,2,short,spacebar,0.4778309999999948,True,False,10.069
p0,word,9.mp3,3,short,spacebar,0.6976089999999999,True,False,12.092
p0,word,9.mp3,4,long,spacebar,0.36658800000000724,True,False,25.295
p0,word,9.mp3,5,short,spacebar,0.698882000000026,True,False,9.608
p2,discontinuous,7.mp3,1,long,spacebar,0.9407299999999985,True,False,21.833
p2,discontinuous,7.mp3,2,short,spacebar,0.5266089999999934,True,False,22.598
p2,discontinuous,7.mp3,3,short,spacebar,0.8116689999999949,True,False,31.222
p2,discontinuous,7.mp3,4,short,spacebar,0.48944500000001767,True,False,10.811
p2,discontinuous,7.mp3,5,long,spacebar,1.0951769999999783,True,False,8.589
p2,discontinuous,7.mp3,6,long,spacebar,0.8334629999999947,True,False,16.822
p2,keyword2,6.mp3,1,long,spacebar,0.8349770000000003,True,False,38.994
p2,keyword2,6.mp3,2,short,spacebar,0.8938560000000138,True,False,5.13
p2,keyword2,6.mp3,3,long,spacebar,0.8663009999999929,True,False,36.357
p2,keyword2,6.mp3,4,long,spacebar,0.5285159999999962,True,False,45.195
p2,keyword2,6.mp3,5,short,timeout,,False,True,
p2,keyword2,6.mp3,6,short,spacebar,1.4133560000000216,True,False,7.854
p2,keyword2,6.mp3,1,long,spacebar,87.511007,False,True,0.588
p2,keyword2,6.mp3,2,long,spacebar,81.691438,False,True,1.092
p2,keyword2,6.mp3,3,long,spacebar,52.91868600000001,False,True,0.584
p2,keyword2,6.mp3,4,short,spacebar,12.503985999999998,False,True,1.098
p2,keyword2,6.mp3,5,short,spacebar,11.555763999999954,False,True,1.751
p2,keyword2,6.mp3,6,short,spacebar,1.4133560000000216,True,False,7.854
p2,keyword,9.mp3,1,short,spacebar,0.8810819999999993,True,False,7.224
p2,keyword,9.mp3,2,long,spacebar,0.4677130000000034,True,False,28.268
p2,keyword,9.mp3,3,long,spacebar,0.6132950000000221,True,False,30.784
p2,keyword,9.mp3,4,long,spacebar,0.8659199999999885,True,False,21.915
p2,keyword,9.mp3,5,short,spacebar,1.399327000000028,True,False,9.168
p2,keyword,9.mp3,6,short,spacebar,0.6205669999999941,True,False,9.803
p2,sentence,10.mp3,1,long,spacebar,0.43174199999999985,True,False,11.91
p2,sentence,10.mp3,2,long,spacebar,1.113281999999998,True,False,16.991
p2,sentence,10.mp3,3,long,spacebar,1.2972120000000018,True,False,37.517
p2,sentence,10.mp3,4,short,spacebar,0.8576559999999915,True,False,41.145
p2,sentence,10.mp3,5,short,spacebar,1.0478120000000217,True,False,6.419
p2,sentence,10.mp3,6,short,spacebar,0.81777900000003,True,False,13.531
p2,word,8.mp3,1,short,spacebar,0.5490039999999965,True,False,7.275
p2,word,8.mp3,2,short,spacebar,0.452723000000006,True,False,8.575
p2,word,8.mp3,3,long,timeout,,False,True,
p2,word,8.mp3,4,long,spacebar,0.7534650000000056,True,False,58.924
p2,word,8.mp3,5,long,timeout,,False,True,
p2,word,8.mp3,6,short,spacebar,1.0691439999999943,True,False,6.166
p3,discontinuous,8.mp3,1,long,spacebar,0.9775860000000005,True,False,22.696
p3,discontinuous,8.mp3,2,long,spacebar,1.102451000000002,True,False,20.753
p3,discontinuous,8.mp3,3,short,spacebar,1.0178149999999846,True,False,12.953
p3,discontinuous,8.mp3,4,long,spacebar,0.8550229999999885,True,False,48.701
p3,discontinuous,8.mp3,5,short,spacebar,0.5710259999999607,True,False,6.116
p3,discontinuous,8.mp3,6,short,spacebar,1.1362520000000131,True,False,7.918
p3,keyword2,7.mp3,1,short,spacebar,2.5296710000000004,False,True,10.061
p3,keyword2,7.mp3,2,short,spacebar,0.6975419999999986,True,False,5.508
p3,keyword2,7.mp3,3,long,spacebar,2.4479530000000125,False,True,58.577
p3,keyword2,7.mp3,4,short,spacebar,0.8919360000000154,True,False,4.994
p3,keyword2,7.mp3,5,long,timeout,,False,True,
p3,keyword2,7.mp3,6,long,spacebar,1.492935999999986,True,False,17.775
p3,keyword,10.mp3,1,long,spacebar,0.7043229999999996,True,False,14.98
p3,keyword,10.mp3,2,long,spacebar,1.4867789999999985,True,False,19.069
p3,keyword,10.mp3,3,long,spacebar,0.5221859999999907,True,False,39.149
p3,keyword,10.mp3,4,short,spacebar,0.9704940000000022,True,False,12.076
p3,keyword,10.mp3,5,short,spacebar,0.5807540000000131,True,False,4.324
p3,keyword,10.mp3,6,short,spacebar,-1.4384359999999674,True,False,4.644
p3,sentence,6.mp3,1,short,spacebar,0.9423949999999977,True,False,5.249
p3,sentence,6.mp3,2,long,spacebar,1.0220269999999942,True,False,18.134
p3,sentence,6.mp3,3,long,spacebar,0.941693000000015,True,False,13.599
p3,sentence,6.mp3,4,long,spacebar,0.5001100000000065,True,False,44.091
p3,sentence,6.mp3,5,short,spacebar,1.3483659999999986,True,False,14.452
p3,sentence,6.mp3,6,short,spacebar,0.6037580000000276,True,False,25.714
p3,word,9.mp3,1,long,spacebar,0.7608920000000001,True,False,7.779
p3,word,9.mp3,2,short,spacebar,0.6479420000000005,True,False,14.691
p3,word,9.mp3,3,short,spacebar,-3.30294600000002,False,True,13.832
p3,word,9.mp3,4,short,spacebar,0.6837279999999737,True,False,8.091
p3,word,9.mp3,5,long,spacebar,0.027492999999992662,True,False,8.738
p3,word,9.mp3,6,long,spacebar,0.5774149999999736,True,False,13.529
