participant_id,condition,audio,task_index,word_search_type,outcome,distance_seconds,word_search_success,word_search_failure,word_search_time_sec
p0,temporal,6.mp3,1,long,spacebar,0.6380549999999996,True,False,12.052
p0,temporal,6.mp3,2,short,spacebar,1.0694600000000065,True,False,9.405
p0,temporal,6.mp3,3,long,spacebar,1.3765999999999963,True,False,21.388
p0,temporal,6.mp3,4,long,spacebar,0.8634329999999864,True,False,27.316
p0,temporal,6.mp3,5,short,spacebar,1.0115649999999619,True,False,42.369
p0,keyword2,8.mp3,1,short,timeout,,False,True,
p0,keyword2,8.mp3,2,short,spacebar,1.505714999999995,True,False,6.323
p0,keyword2,8.mp3,3,short,spacebar,0.5490150000000256,True,False,4.426
p0,keyword2,8.mp3,4,long,spacebar,0.6074590000000057,True,False,26.016
p0,keyword2,8.mp3,5,short,spacebar,0.5542590000000018,True,False,4.523
p0,keyword,7.mp3,1,long,spacebar,0.6039689999999993,True,False,3.71
p0,keyword,7.mp3,2,short,spacebar,0.8475920000000059,True,False,1.569
p0,keyword,7.mp3,3,short,spacebar,0.5855949999999837,True,False,2.248
p0,keyword,7.mp3,4,long,spacebar,1.1075419999999951,True,False,9.734
p0,keyword,7.mp3,5,long,spacebar,0.5234809999999754,True,False,16.36
p0,sentence,10.mp3,1,short,spacebar,0.6045190000000034,True,False,12.754
p0,sentence,10.mp3,2,short,spacebar,1.039393000000004,True,False,2.584
p0,sentence,10.mp3,3,long,spacebar,0.613472999999999,True,False,35.439
p0,sentence,10.mp3,4,short,spacebar,0.9499449999999854,True,False,3.893
p0,sentence,10.mp3,5,short,spacebar,0.6106899999999769,True,False,44.843
p0,word,9.mp3,1,short,spacebar,0.5725529999999992,True,False,8.658
p0,word,9.mp3,2,short,spacebar,0.4778309999999948,True,False,10.069
p0,word,9.mp3,3,short,spacebar,0.6976089999999999,True,False,12.092
p0,word,9.mp3,4,long,spacebar,0.36658800000000724,True,False,25.295
p0,word,9.mp3,5,short,spacebar,0.698882000000026,True,False,9.608
