measure,condition_type,test,statistic,value,df1,df2,p,effect_size,effect_size_type,comparison
Word Search Time,all,Post-hoc (Bonferroni),t,3.9222,,,0.0153,1.333,Hedges' g,temporal vs keyword
Word Search Time,all,Post-hoc (Bonferroni),t,-2.4343,,,0.2891,-0.7601,Hedges' g,temporal vs keyword2
Word Search Time,all,Post-hoc (Bonferroni),t,-0.7585,,,1.0,-0.2547,Hedges' g,temporal vs sentence
Word Search Time,all,Post-hoc (Bonferroni),t,4.2991,,,0.0073,1.297,Hedges' g,temporal vs word
Word Search Time,all,Post-hoc (Bonferroni),t,-6.2639,,,0.0002,-2.4485,Hedges' g,keyword vs keyword2
Word Search Time,all,Post-hoc (Bonferroni),t,-4.0539,,,0.0118,-1.5173,Hedges' g,keyword vs sentence
Word Search Time,all,Post-hoc (Bonferroni),t,-0.683,,,1.0,-0.151,Hedges' g,keyword vs word
Word Search Time,all,Post-hoc (Bonferroni),t,1.5261,,,1.0,0.417,Hedges' g,keyword2 vs sentence
Word Search Time,all,Post-hoc (Bonferroni),t,6.9724,,,0.0001,2.5441,Hedges' g,keyword2 vs word
Word Search Time,all,Post-hoc (Bonferroni),t,3.9058,,,0.0158,1.4888,Hedges' g,sentence vs word
Word Search Time,long,Post-hoc (Bonferroni),t,0.7289,,,1.0,0.1911,Hedges' g,temporal vs keyword
Word Search Time,long,Post-hoc (Bonferroni),t,-2.4094,,,0.3032,-0.775,Hedges' g,temporal vs keyword2
Word Search Time,long,Post-hoc (Bonferroni),t,-1.4016,,,1.0,-0.465,Hedges' g,temporal vs sentence
Word Search Time,long,Post-hoc (Bonferroni),t,0.9957,,,1.0,0.2988,Hedges' g,temporal vs word
Word Search Time,long,Post-hoc (Bonferroni),t,-3.9736,,,0.0139,-0.9787,Hedges' g,keyword vs keyword2
Word Search Time,long,Post-hoc (Bonferroni),t,-1.942,,,0.7253,-0.676,Hedges' g,keyword vs sentence
Word Search Time,long,Post-hoc (Bonferroni),t,0.5551,,,1.0,0.1113,Hedges' g,keyword vs word
Word Search Time,long,Post-hoc (Bonferroni),t,1.0001,,,1.0,0.3497,Hedges' g,keyword2 vs sentence
Word Search Time,long,Post-hoc (Bonferroni),t,4.0629,,,0.0116,1.0809,Hedges' g,keyword2 vs word
Word Search Time,long,Post-hoc (Bonferroni),t,2.1505,,,0.4947,0.7862,Hedges' g,sentence vs word
Word Search Time,short,Post-hoc (Bonferroni),t,4.6507,,,0.0037,1.622,Hedges' g,temporal vs keyword
Word Search Time,short,Post-hoc (Bonferroni),t,-0.1745,,,1.0,-0.0534,Hedges' g,temporal vs keyword2
Word Search Time,short,Post-hoc (Bonferroni),t,0.1658,,,1.0,0.0646,Hedges' g,temporal vs sentence
Word Search Time,short,Post-hoc (Bonferroni),t,3.7767,,,0.0204,1.2514,Hedges' g,temporal vs word
Word Search Time,short,Post-hoc (Bonferroni),t,-3.6294,,,0.0273,-1.42,Hedges' g,keyword vs keyword2
Word Search Time,short,Post-hoc (Bonferroni),t,-3.9812,,,0.0137,-1.5487,Hedges' g,keyword vs sentence
