,,,,,,,,,,,,,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,
Timestamp,Participant ID,Condition,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this system.,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",SUS score
5/21/2026 12:21:00,p9,Word,4,2,5,1,4,1,5,1,4,2,5,1,3,5,6,5,87.5
5/21/2026 12:37:32,p9,Sentence,2,3,4,2,4,2,4,2,2,2,7,2,6,1,6,6,62.5
5/21/2026 12:52:28,p9,Discontinuous,3,2,4,1,4,2,4,2,4,1,7,1,5,2,6,6,77.5
5/21/2026 13:05:40,p9,Keyword,4,2,3,1,4,1,4,1,4,1,5,1,4,6,4,4,82.5
5/21/2026 13:19:04,p9,Keyword2,2,4,3,2,4,2,3,3,3,1,6,1,5,3,5,5,57.5
5/21/2026 13:53:26,p10,Sentence,5,1,5,1,5,2,5,1,5,1,4,1,3,6,3,1,97.5
5/21/2026 14:07:00,p10,Discontinuous,4,1,1,1,5,1,5,2,3,1,2,1,3,4,5,1,80
5/21/2026 14:18:24,p10,Keyword,5,1,5,1,5,1,5,1,5,1,1,1,1,7,1,1,100
5/21/2026 14:29:59,p10,Keyword2,2,1,5,1,5,3,4,3,3,1,5,1,4,5,4,1,75
5/21/2026 14:41:50,p10,Word,3,2,5,1,5,1,5,2,5,1,3,1,3,7,2,1,90
5/21/2026 15:35:42,p11,Discontinuous,5,1,5,1,5,1,5,1,5,1,3,1,1,6,2,2,100
5/21/2026 15:49:06,p11,Keyword,5,1,5,1,5,1,5,1,5,1,2,1,1,7,2,1,100
5/21/2026 16:03:27,p11,Keyword2,3,3,3,4,4,1,3,3,3,4,4,2,2,4,4,1,52.5
5/21/2026 16:16:01,p11,Word,5,1,5,1,5,1,5,1,5,1,2,1,1,7,2,1,100
5/21/2026 16:28:48,p11,Sentence,5,2,5,1,5,1,5,1,5,2,2,1,1,6,2,1,95
5/22/2026 13:56:04,p12,Keyword,3,2,4,1,4,1,3,2,4,2,5,1,6,4,4,5,75
5/22/2026 14:12:10,p12,Keyword2,2,1,4,1,4,1,3,2,4,1,6,1,6,5,5,4,77.5
5/22/2026 14:26:30,p12,Word,4,1,3,1,3,2,5,2,5,1,4,3,6,6,4,3,82.5
5/22/2026 14:40:24,p12,Sentence,4,1,4,1,4,1,4,2,5,1,3,1,1,6,3,1,87.5
5/22/2026 14:54:13,p12,Discontinuous,4,1,5,1,4,1,4,2,5,1,3,1,1,6,3,1,90
5/22/2026 17:26:26,p13,Keyword2,3,2,4,1,4,4,4,3,2,2,5,3,3,5,5,4,62.5
5/22/2026 17:39:35,p13,Word,4,2,3,1,4,4,4,4,3,2,5,5,5,5,3,3,62.5
5/22/2026 17:51:39,p13,Sentence,4,3,4,1,3,2,4,3,3,2,4,4,3,6,3,2,67.5
5/22/2026 18:04:00,p13,Discontinuous,3,2,4,2,3,5,4,3,2,2,5,3,4,5,5,3,55
5/22/2026 18:15:49,p13,Keyword,4,2,4,1,4,2,4,2,4,1,3,4,5,5,2,2,80
5/26/2026 15:15:47,p14,Word,4,2,5,1,3,1,4,1,4,2,6,1,4,7,5,4,82.5
5/26/2026 15:28:21,p14,Sentence,3,1,2,1,3,2,3,5,3,2,7,1,4,6,6,5,57.5
5/26/2026 15:39:19,p14,Discontinuous,1,1,2,1,3,1,3,5,1,2,7,1,4,6,7,6,50
5/26/2026 15:52:22,p14,Keyword,3,4,3,1,3,4,3,3,3,3,7,1,4,7,7,4,50
5/26/2026 16:04:24,p14,Keyword2,3,4,2,1,3,3,3,3,3,1,7,1,4,5,7,4,55
5/27/2026 13:41:26,p15,Sentence,3,2,4,2,4,2,4,1,4,2,5,2,4,5,5,3,75
5/27/2026 13:54:29,p15,Discontinuous,4,1,4,2,4,1,5,1,5,1,3,1,3,6,4,2,90
5/27/2026 14:07:02,p15,Keyword,4,1,5,1,5,2,5,1,5,1,2,1,2,6,2,2,95
5/27/2026 14:19:37,p15,Keyword2,3,2,4,1,4,1,4,1,4,1,6,1,3,6,6,2,82.5
5/27/2026 14:31:28,p15,Word,4,1,4,1,4,2,2,1,5,1,4,1,2,6,4,2,82.5
5/28/2026 12:24:38,p1,Discontinuous,3,1,5,1,5,1,5,1,5,1,5,1,1,4,6,3,95
5/28/2026 12:42:21,p1,Keyword,5,1,5,1,5,1,4,1,5,4,3,1,1,7,1,1,90
5/28/2026 12:56:22,p1,Keyword2,3,2,4,1,5,1,4,1,5,2,2,1,1,7,2,2,85
5/28/2026 13:09:15,p1,Word,5,1,5,1,5,1,5,1,5,1,1,1,1,7,1,1,100
5/28/2026 13:21:05,p1,Sentence,5,1,5,1,5,1,5,1,5,1,2,1,1,7,2,1,100
5/28/2026 13:51:31,p2,Keyword,5,1,5,1,5,1,5,1,5,2,5,1,1,7,1,1,97.5
5/28/2026 14:14:18,p2,Keyword2,3,2,4,2,5,1,5,1,5,1,6,1,1,4,4,1,87.5
5/28/2026 14:26:19,p2,Word,5,1,5,1,5,1,5,1,5,1,5,1,1,7,1,1,100
5/28/2026 14:40:59,p2,Sentence,5,1,5,1,5,1,5,1,5,1,4,1,1,6,2,1,100
5/28/2026 14:59:23,p2,Discontinuous,2,1,5,1,5,1,5,3,5,1,5,1,1,7,3,2,87.5
6/1/2026 14:09:05,p3,Keyword2,2,3,2,5,2,4,2,4,2,5,2,7,4,5,6,2,22.5
6/1/2026 14:22:42,p3,Word,3,2,4,1,4,3,4,2,5,1,5,1,3,5,3,2,77.5
6/1/2026 14:36:18,p3,Sentence,4,2,5,1,5,2,4,1,4,2,6,1,5,7,6,2,85
6/1/2026 14:49:27,p3,Discontinuous,3,2,3,1,3,4,3,3,3,1,6,1,5,7,6,2,60
6/1/2026 15:01:13,p3,Keyword,4,2,5,1,4,2,5,2,5,1,4,1,4,7,4,1,87.5
6/1/2026 15:22:22,p4,Word,2,2,5,1,4,1,5,1,5,2,5,1,2,4,5,3,85
6/1/2026 15:36:07,p4,Sentence,3,1,4,1,4,1,5,1,5,2,6,1,4,2,5,4,87.5
6/1/2026 15:47:16,p4,Discontinuous,4,1,5,1,5,1,5,1,5,2,5,1,2,4,5,2,95
6/1/2026 15:57:21,p4,Keyword,5,1,5,1,5,1,5,1,5,2,4,1,1,6,2,1,97.5
6/1/2026 16:10:27,p4,Keyword2,4,1,5,1,5,1,5,1,5,2,5,1,4,5,5,2,95
6/1/2026 16:41:18,p5,Sentence,2,3,1,4,2,4,1,5,1,3,4,2,5,3,5,4,20
6/1/2026 16:54:31,p5,Discontinuous,2,3,2,3,3,4,3,4,2,2,4,2,3,5,4,3,40
6/1/2026 17:06:27,p5,Keyword,4,1,5,1,4,2,4,1,5,1,2,1,2,6,2,2,90
6/1/2026 17:20:14,p5,Keyword2,2,3,2,3,3,4,2,4,2,3,3,2,5,5,4,4,35
6/1/2026 17:30:13,p5,Word,4,2,5,1,3,2,5,1,4,1,3,4,2,7,2,2,85
6/2/2026 10:48:24,p6,Discontinuous,2,2,4,2,4,2,5,1,4,3,5,1,2,6,5,3,72.5
6/2/2026 10:58:35,p6,Keyword,4,1,5,1,4,1,5,1,5,1,2,1,2,7,3,2,95
6/2/2026 11:12:53,p6,Keyword2,1,3,3,1,3,4,4,4,2,1,6,1,3,5,5,4,50
6/2/2026 11:22:47,p6,Word,4,2,4,1,4,1,5,1,4,1,3,1,1,7,3,2,87.5
6/2/2026 11:34:51,p6,Sentence,2,2,4,1,4,2,5,2,4,1,4,1,2,6,5,3,77.5
6/2/2026 13:44:11,p7,Keyword,5,1,5,1,5,1,5,1,4,1,3,1,1,7,3,4,97.5
6/2/2026 13:58:38,p7,Keyword2,4,1,5,1,5,1,5,1,5,1,1,1,1,7,2,1,97.5
6/2/2026 14:11:33,p7,Word,5,1,5,1,5,1,5,1,5,1,1,1,1,7,1,1,100
6/2/2026 14:25:15,p7,Sentence,4,1,5,1,5,1,5,1,5,1,2,1,1,7,2,1,97.5
6/2/2026 14:39:42,p7,Discontinuous,1,1,5,1,5,1,5,1,1,1,4,1,1,4,2,1,80
6/2/2026 17:46:27,p8,Keyword2,4,2,4,1,4,1,4,2,4,2,3,3,5,5,5,2,80
6/2/2026 18:03:06,p8,Word,2,1,1,1,1,1,4,2,5,1,3,5,4,6,4,3,67.5
6/2/2026 18:16:15,p8,Sentence,4,2,4,1,5,1,4,2,5,3,3,4,4,6,3,1,82.5
6/2/2026 18:33:32,p8,Discontinuous,2,4,3,1,5,1,3,4,2,4,5,5,5,5,6,2,52.5
6/2/2026 18:44:43,p8,Keyword,5,1,5,1,5,1,5,1,5,2,2,3,1,7,2,1,97.5
