,,,,,,,,,,,,,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,SUS score
Timestamp,Participant ID,Condition,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this system.,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",SUS score
6/25/2026 14:40:52,P4,Meta Neuralband,5,1,5,1,5,1,5,1,5,1,5,1,4,6,4,2,100
6/25/2026 14:55:31,P4,Headphone,1,1,2,1,4,1,4,5,5,1,3,7,4,6,7,5,67.5
6/25/2026 16:07:20,P5,Headphone,4,1,4,1,4,2,4,1,5,1,3,1,3,5,3,2,87.5
6/25/2026 16:21:02,P5,Meta Neuralband,5,1,5,2,4,1,4,1,5,2,1,1,1,7,1,1,90
6/26/2026 10:31:22,P6,Meta Neuralband,3,3,3,2,3,4,4,2,2,1,5,5,5,4,5,3,57.5
6/26/2026 10:48:12,P6,Headphone,4,2,4,2,4,1,4,1,4,1,3,2,4,5,5,2,82.5
6/26/2026 12:11:08,P7,Headphone,4,1,5,1,5,1,5,1,5,2,1,1,1,7,2,1,95
6/26/2026 12:28:43,P7,Meta Neuralband,2,3,3,2,4,2,4,4,4,3,2,5,1,6,3,2,57.5
6/26/2026 13:27:43,P8,Meta Neuralband,5,2,4,1,4,2,5,2,3,2,4,1,2,4,5,4,80
6/26/2026 13:44:54,P8,Headphone,3,2,5,1,3,1,4,2,5,1,5,2,2,5,5,3,82.5
6/26/2026 14:52:41,P1,Meta Neuralband,4,2,4,4,4,1,4,2,5,3,3,2,1,6,3,2,72.5
6/26/2026 15:07:46,P1,Headphone,2,4,2,3,2,4,3,4,3,2,4,2,2,6,3,4,37.5
6/26/2026 18:11:21,P2,Headphone,1,1,5,1,5,1,5,1,5,1,5,4,1,5,5,3,90
6/26/2026 18:31:08,P2,Meta Neuralband,2,4,3,4,5,1,3,4,3,4,7,6,3,7,6,6,47.5
7/1/2026 13:14:57,P3,Headphone,4,2,3,1,4,1,4,1,4,2,2,1,3,6,5,2,80
7/1/2026 13:34:04,P3,Meta Neuralband,4,1,5,2,4,1,4,2,4,2,2,1,5,5,5,2,82.5
