condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,17,17,0,1.0,20.20835294117647
discontinuous,long,9,9,0,1.0,22.23888888888889
discontinuous,short,8,8,0,1.0,17.924
keyword,all,29,26,3,0.896551724137931,12.353827586206897
keyword,long,15,12,3,0.8,18.047
keyword,short,14,14,0,1.0,6.253999999999999
keyword2,all,21,12,9,0.5714285714285714,19.4328
keyword2,long,9,5,4,0.5555555555555556,37.15233333333333
keyword2,short,12,7,5,0.5833333333333334,7.619777777777778
sentence,all,17,17,0,1.0,20.486176470588234
sentence,long,7,7,0,1.0,25.383000000000003
sentence,short,10,10,0,1.0,17.0584
word,all,23,18,5,0.782608695652174,15.457631578947368
word,long,10,8,2,0.8,20.956874999999997
word,short,13,10,3,0.7692307692307693,11.458181818181819
