condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,24,22,2,0.9166666666666666,20.264318181818183
discontinuous,long,12,11,1,0.9166666666666666,20.29090909090909
discontinuous,short,12,11,1,0.9166666666666666,20.237727272727273
keyword,all,24,24,0,1.0,18.942208333333333
keyword,long,12,12,0,1.0,26.43066666666667
keyword,short,12,12,0,1.0,11.45375
keyword2,all,24,21,3,0.875,24.377952380952383
keyword2,long,12,11,1,0.9166666666666666,27.269545454545458
keyword2,short,12,10,2,0.8333333333333334,21.197200000000002
sentence,all,24,24,0,1.0,20.79004166666667
sentence,long,12,12,0,1.0,25.62366666666667
sentence,short,12,12,0,1.0,15.956416666666662
word,all,24,21,3,0.875,14.29678260869565
word,long,12,11,1,0.9166666666666666,19.513
word,short,12,10,2,0.8333333333333334,8.606363636363637
