participant_id,condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
p1,discontinuous,all,6,4,2,0.6666666666666666,17.149250000000002
p1,discontinuous,long,3,3,0,1.0,18.93166666666667
p1,discontinuous,short,3,1,2,0.3333333333333333,11.802
p1,keyword,all,6,6,0,1.0,17.673166666666663
p1,keyword,long,3,3,0,1.0,26.480999999999998
p1,keyword,short,3,3,0,1.0,8.865333333333334
p1,keyword2,all,6,5,1,0.8333333333333334,23.842799999999997
p1,keyword2,long,3,2,1,0.6666666666666666,35.6815
p1,keyword2,short,3,3,0,1.0,15.950333333333333
p1,sentence,all,6,6,0,1.0,22.69683333333333
p1,sentence,long,3,3,0,1.0,27.540666666666667
p1,sentence,short,3,3,0,1.0,17.852999999999998
p1,word,all,6,6,0,1.0,21.019666666666666
p1,word,long,3,3,0,1.0,37.806
p1,word,short,3,3,0,1.0,4.233333333333333
p10,discontinuous,all,6,4,2,0.6666666666666666,16.06075
p10,discontinuous,long,3,3,0,1.0,16.12966666666667
p10,discontinuous,short,3,1,2,0.3333333333333333,15.854
p10,keyword,all,6,6,0,1.0,12.278833333333333
p10,keyword,long,3,3,0,1.0,20.526999999999997
p10,keyword,short,3,3,0,1.0,4.030666666666666
p10,keyword2,all,6,4,2,0.6666666666666666,27.608600000000003
p10,keyword2,long,2,2,0,1.0,28.951999999999998
p10,keyword2,short,4,2,2,0.5,26.713000000000005
p10,sentence,all,6,6,0,1.0,25.018
p10,sentence,long,3,3,0,1.0,37.54966666666667
p10,sentence,short,3,3,0,1.0,12.486333333333333
p10,word,all,6,6,0,1.0,18.6065
p10,word,long,3,3,0,1.0,29.36966666666667
p10,word,short,3,3,0,1.0,7.843333333333334
p11,discontinuous,all,6,6,0,1.0,31.557833333333335
p11,discontinuous,long,3,3,0,1.0,35.374
p11,discontinuous,short,3,3,0,1.0,27.741666666666664
p11,keyword,all,6,6,0,1.0,19.43083333333333
p11,keyword,long,3,3,0,1.0,30.367
p11,keyword,short,3,3,0,1.0,8.494666666666665
p11,keyword2,all,6,4,2,0.6666666666666666,24.831250000000004
p11,keyword2,long,3,2,1,0.6666666666666666,28.0435
p11,keyword2,short,3,2,1,0.6666666666666666,21.619
p11,sentence,all,6,5,1,0.8333333333333334,19.6908
p11,sentence,long,3,3,0,1.0,25.76233333333333
p11,sentence,short,3,2,1,0.6666666666666666,10.583499999999999
p11,word,all,6,6,0,1.0,18.0675
p11,word,long,3,3,0,1.0,31.950666666666667
p11,word,short,3,3,0,1.0,4.184333333333334
p12,discontinuous,all,6,5,1,0.8333333333333334,19.763799999999996
p12,discontinuous,long,3,2,1,0.6666666666666666,36.7965
p12,discontinuous,short,3,3,0,1.0,8.408666666666667
p12,keyword,all,6,3,3,0.5,9.105666666666666
p12,keyword,long,3,0,3,0.0,
p12,keyword,short,3,3,0,1.0,9.105666666666666
p12,keyword2,all,6,3,3,0.5,19.177
p12,keyword2,long,3,0,3,0.0,38.895
p12,keyword2,short,3,3,0,1.0,12.604333333333335
p12,sentence,all,6,4,2,0.6666666666666666,20.798000000000002
p12,sentence,long,3,2,1,0.6666666666666666,26.354000000000003
p12,sentence,short,3,2,1,0.6666666666666666,12.463999999999999
p12,word,all,6,4,2,0.6666666666666666,17.125
p12,word,long,3,1,2,0.3333333333333333,33.792
p12,word,short,3,3,0,1.0,6.0136666666666665
p13,discontinuous,all,6,5,1,0.8333333333333334,23.956000000000003
p13,discontinuous,long,3,3,0,1.0,23.983999999999998
p13,discontinuous,short,3,2,1,0.6666666666666666,23.927999999999997
p13,keyword,all,6,5,1,0.8333333333333334,15.785
p13,keyword,long,3,3,0,1.0,21.097333333333335
p13,keyword,short,3,2,1,0.6666666666666666,7.8165
p13,keyword2,all,6,5,1,0.8333333333333334,17.452199999999998
p13,keyword2,long,3,2,1,0.6666666666666666,28.877499999999998
p13,keyword2,short,3,3,0,1.0,9.835333333333333
p13,sentence,all,6,6,0,1.0,25.522666666666666
p13,sentence,long,3,3,0,1.0,27.796999999999997
p13,sentence,short,3,3,0,1.0,23.248333333333335
p13,word,all,6,5,1,0.8333333333333334,11.5184
p13,word,long,3,3,0,1.0,12.341666666666667
p13,word,short,3,2,1,0.6666666666666666,10.2835
p14,discontinuous,all,6,6,0,1.0,15.239833333333332
p14,discontinuous,long,3,3,0,1.0,19.63
p14,discontinuous,short,3,3,0,1.0,10.849666666666666
p14,keyword,all,6,6,0,1.0,19.5185
p14,keyword,long,3,3,0,1.0,27.793333333333333
p14,keyword,short,3,3,0,1.0,11.243666666666668
p14,keyword2,all,6,5,1,0.8333333333333334,17.096666666666668
p14,keyword2,long,3,3,0,1.0,23.119333333333334
p14,keyword2,short,3,2,1,0.6666666666666666,11.074
p14,sentence,all,6,5,1,0.8333333333333334,18.617
p14,sentence,long,3,2,1,0.6666666666666666,29.772000000000002
p14,sentence,short,3,3,0,1.0,7.462
p14,word,all,6,6,0,1.0,16.956166666666665
p14,word,long,3,3,0,1.0,24.343333333333334
p14,word,short,3,3,0,1.0,9.569
p15,discontinuous,all,6,6,0,1.0,19.1205
p15,discontinuous,long,3,3,0,1.0,23.298666666666666
p15,discontinuous,short,3,3,0,1.0,14.942333333333332
p15,keyword,all,6,5,1,0.8333333333333334,17.813999999999997
p15,keyword,long,3,2,1,0.6666666666666666,32.324666666666666
p15,keyword,short,3,3,0,1.0,3.3033333333333332
p15,keyword2,all,6,6,0,1.0,23.101
p15,keyword2,long,3,3,0,1.0,32.821666666666665
p15,keyword2,short,3,3,0,1.0,13.380333333333333
p15,sentence,all,6,5,1,0.8333333333333334,30.701000000000004
p15,sentence,long,3,3,0,1.0,25.084999999999997
p15,sentence,short,3,2,1,0.6666666666666666,36.317
p15,word,all,6,6,0,1.0,15.168333333333335
p15,word,long,3,3,0,1.0,18.232333333333333
p15,word,short,3,3,0,1.0,12.104333333333335
p2,discontinuous,all,6,3,3,0.5,24.78125
p2,discontinuous,long,3,1,2,0.3333333333333333,39.013999999999996
p2,discontinuous,short,3,2,1,0.6666666666666666,10.5485
p2,keyword,all,6,6,0,1.0,13.4395
p2,keyword,long,3,3,0,1.0,18.520333333333333
p2,keyword,short,3,3,0,1.0,8.358666666666666
p2,keyword2,all,6,3,3,0.5,15.605000000000002
p2,keyword2,long,3,3,0,1.0,15.605000000000002
p2,keyword2,short,3,0,3,0.0,
p2,sentence,all,6,5,1,0.8333333333333334,25.8962
p2,sentence,long,3,3,0,1.0,32.618
p2,sentence,short,3,2,1,0.6666666666666666,15.8135
p2,word,all,6,6,0,1.0,14.604666666666665
p2,word,long,3,3,0,1.0,20.793666666666667
p2,word,short,3,3,0,1.0,8.415666666666667
p3,discontinuous,all,6,6,0,1.0,14.141833333333333
p3,discontinuous,long,3,3,0,1.0,21.310666666666666
p3,discontinuous,short,3,3,0,1.0,6.973
p3,keyword,all,6,6,0,1.0,19.110666666666667
p3,keyword,long,3,3,0,1.0,27.553
p3,keyword,short,3,3,0,1.0,10.668333333333335
p3,keyword2,all,6,4,2,0.6666666666666666,19.439
p3,keyword2,long,3,1,2,0.3333333333333333,55.213
p3,keyword2,short,3,3,0,1.0,7.514333333333333
p3,sentence,all,6,6,0,1.0,21.081333333333333
p3,sentence,long,3,3,0,1.0,27.792333333333332
p3,sentence,short,3,3,0,1.0,14.370333333333335
p3,word,all,6,6,0,1.0,17.009
p3,word,long,3,3,0,1.0,15.900666666666666
p3,word,short,3,3,0,1.0,18.11733333333333
p4,discontinuous,all,6,4,2,0.6666666666666666,6.7202
p4,discontinuous,long,3,2,1,0.6666666666666666,5.703666666666667
p4,discontinuous,short,3,2,1,0.6666666666666666,8.245000000000001
p4,keyword,all,6,6,0,1.0,8.891
p4,keyword,long,3,3,0,1.0,13.590000000000002
p4,keyword,short,3,3,0,1.0,4.192
p4,keyword2,all,6,5,1,0.8333333333333334,28.419600000000003
p4,keyword2,long,3,3,0,1.0,42.907999999999994
p4,keyword2,short,3,2,1,0.6666666666666666,6.687
p4,sentence,all,6,3,3,0.5,27.344
p4,sentence,long,3,1,2,0.3333333333333333,50.302499999999995
p4,sentence,short,3,2,1,0.6666666666666666,4.3855
p4,word,all,6,5,1,0.8333333333333334,15.111600000000001
p4,word,long,3,3,0,1.0,20.151
p4,word,short,3,2,1,0.6666666666666666,7.5525
p5,discontinuous,all,6,6,0,1.0,27.514666666666667
p5,discontinuous,long,3,3,0,1.0,39.15266666666667
p5,discontinuous,short,3,3,0,1.0,15.876666666666665
p5,keyword,all,6,5,1,0.8333333333333334,8.716199999999999
p5,keyword,long,3,2,1,0.6666666666666666,16.3575
p5,keyword,short,3,3,0,1.0,3.622
p5,keyword2,all,6,5,1,0.8333333333333334,38.41683333333333
p5,keyword2,long,3,3,0,1.0,45.05666666666667
p5,keyword2,short,3,2,1,0.6666666666666666,31.776999999999997
p5,sentence,all,6,3,3,0.5,48.378600000000006
p5,sentence,long,4,2,2,0.5,45.92966666666666
p5,sentence,short,2,1,1,0.5,52.052
p5,word,all,6,6,0,1.0,10.415833333333333
p5,word,long,3,3,0,1.0,15.191999999999998
p5,word,short,3,3,0,1.0,5.639666666666667
p6,discontinuous,all,6,6,0,1.0,17.054
p6,discontinuous,long,3,3,0,1.0,8.098999999999998
p6,discontinuous,short,3,3,0,1.0,26.009
p6,keyword,all,6,6,0,1.0,6.180833333333332
p6,keyword,long,3,3,0,1.0,9.116333333333332
p6,keyword,short,3,3,0,1.0,3.2453333333333334
p6,keyword2,all,6,4,2,0.6666666666666666,34.0565
p6,keyword2,long,3,3,0,1.0,27.608
p6,keyword2,short,3,1,2,0.3333333333333333,53.402
p6,sentence,all,6,5,1,0.8333333333333334,25.2274
p6,sentence,long,3,3,0,1.0,21.243
p6,sentence,short,3,2,1,0.6666666666666666,31.204
p6,word,all,6,6,0,1.0,9.865833333333333
p6,word,long,3,3,0,1.0,17.223
p6,word,short,3,3,0,1.0,2.5086666666666666
p7,discontinuous,all,6,4,2,0.6666666666666666,12.560249999999998
p7,discontinuous,long,3,1,2,0.3333333333333333,16.217
p7,discontinuous,short,3,3,0,1.0,11.341333333333333
p7,keyword,all,6,6,0,1.0,14.652166666666666
p7,keyword,long,3,3,0,1.0,21.873666666666665
p7,keyword,short,3,3,0,1.0,7.430666666666667
p7,keyword2,all,6,5,1,0.8333333333333334,20.615333333333332
p7,keyword2,long,3,2,1,0.6666666666666666,28.075666666666667
p7,keyword2,short,3,3,0,1.0,13.155
p7,sentence,all,6,6,0,1.0,21.31416666666667
p7,sentence,long,3,3,0,1.0,26.947666666666667
p7,sentence,short,3,3,0,1.0,15.680666666666667
p7,word,all,6,6,0,1.0,14.154166666666667
p7,word,long,3,3,0,1.0,20.544333333333334
p7,word,short,3,3,0,1.0,7.763999999999999
p9,discontinuous,all,6,4,2,0.6666666666666666,29.8305
p9,discontinuous,long,3,3,0,1.0,31.728333333333335
p9,discontinuous,short,3,1,2,0.3333333333333333,24.137
p9,keyword,all,6,6,0,1.0,18.581833333333332
p9,keyword,long,3,3,0,1.0,32.004
p9,keyword,short,3,3,0,1.0,5.159666666666667
p9,keyword2,all,6,3,3,0.5,16.885666666666665
p9,keyword2,long,3,2,1,0.6666666666666666,19.6765
p9,keyword2,short,3,1,2,0.3333333333333333,11.304
p9,sentence,all,6,3,3,0.5,19.49266666666667
p9,sentence,long,3,1,2,0.3333333333333333,48.813
p9,sentence,short,3,2,1,0.6666666666666666,4.8325
p9,word,all,6,6,0,1.0,21.912666666666667
p9,word,long,3,3,0,1.0,22.98533333333333
p9,word,short,3,3,0,1.0,20.84
