condition,word_search_type,n_trials,n_success,n_failure,success_rate,mean_word_search_time_sec
discontinuous,all,6,6,0,1.0,19.891000000000002
discontinuous,long,3,3,0,1.0,22.191333333333333
discontinuous,short,3,3,0,1.0,17.590666666666667
keyword,all,6,6,0,1.0,22.553833333333333
keyword,long,3,3,0,1.0,35.581
keyword,short,3,3,0,1.0,9.526666666666666
keyword2,all,6,5,1,0.8333333333333334,17.887800000000002
keyword2,long,3,2,1,0.6666666666666666,28.711000000000002
keyword2,short,3,3,0,1.0,10.672333333333333
sentence,all,6,6,0,1.0,14.818999999999997
sentence,long,3,3,0,1.0,19.778
sentence,short,3,3,0,1.0,9.86
word,all,6,5,1,0.8333333333333334,14.156
word,long,3,3,0,1.0,18.449
word,short,3,2,1,0.6666666666666666,7.7165
