participant_id,discontinuous_short,keyword_short,keyword2_short,sentence_short,word_short,discontinuous_long,keyword_long,keyword2_long,sentence_long,word_long
p1,43.93,8.87,15.95,17.85,4.23,18.93,26.48,43.79,27.54,37.81
p10,45.28,4.03,34.96,12.49,7.84,16.13,20.53,28.95,37.55,29.37
p11,27.74,8.49,34.41,27.06,4.18,35.37,30.37,38.70,25.76,31.95
p12,8.41,9.11,12.60,28.31,6.01,44.53,60.00,60.00,34.59,55.22
p13,38.35,25.21,9.84,23.25,26.86,23.98,21.10,39.25,27.80,12.34
p14,10.85,11.24,28.62,7.46,9.57,19.63,27.79,23.12,36.25,24.34
p15,14.94,3.30,13.38,41.01,12.10,23.30,32.36,32.82,25.08,18.23
p2,27.03,8.36,60.00,30.54,8.42,48.68,18.52,15.61,32.62,20.79
p3,6.97,10.67,7.51,14.37,18.12,21.31,27.55,58.40,27.79,15.90
p4,25.50,4.19,24.46,22.92,25.04,22.32,13.59,42.91,58.91,20.15
p5,15.88,3.62,32.52,58.94,5.64,39.15,30.91,45.06,49.38,15.19
p6,26.01,3.25,57.80,40.80,2.51,8.10,9.12,27.61,21.24,17.22
p7,11.34,7.43,13.15,15.68,7.76,45.41,21.87,38.64,26.95,20.54
p8,35.53,6.02,9.78,7.96,7.17,37.56,29.07,59.45,33.21,39.46
p9,48.05,5.16,43.77,23.22,20.84,31.73,32.00,33.12,56.27,22.99
