participant_id,discontinuous_long,keyword_long,keyword2_long,sentence_long,word_long
p1,18.93,26.48,43.79,27.54,37.81
p10,16.13,20.53,28.95,37.55,29.37
p11,35.37,30.37,38.70,25.76,31.95
p12,44.53,60.00,60.00,34.59,55.22
p13,23.98,21.10,39.25,27.80,12.34
p14,19.63,27.79,23.12,36.25,24.34
p15,23.30,32.36,32.82,25.08,18.23
p2,48.68,18.52,15.61,32.62,20.79
p3,21.31,27.55,58.40,27.79,15.90
p4,22.32,13.59,42.91,58.91,20.15
p5,39.15,30.91,45.06,49.38,15.19
p6,8.10,9.12,27.61,21.24,17.22
p7,45.41,21.87,38.64,26.95,20.54
p9,31.73,32.00,33.12,56.27,22.99
