participant_id,discontinuous_short,keyword_short,keyword2_short,sentence_short,word_short
p1,43.93,8.87,15.95,17.85,4.23
p10,45.28,4.03,34.96,12.49,7.84
p11,27.74,8.49,34.41,27.06,4.18
p12,8.41,9.11,12.60,28.31,6.01
p13,38.35,25.21,9.84,23.25,26.86
p14,10.85,11.24,28.62,7.46,9.57
p15,14.94,3.30,13.38,41.01,12.10
p2,27.03,8.36,60.00,30.54,8.42
p3,6.97,10.67,7.51,14.37,18.12
p4,25.50,4.19,24.46,22.92,25.04
p5,15.88,3.62,32.52,58.94,5.64
p6,26.01,3.25,57.80,40.80,2.51
p7,11.34,7.43,13.15,15.68,7.76
p9,48.05,5.16,43.77,23.22,20.84
