condition,audio,task_index,word_search_type,outcome,distance_seconds,word_search_success,word_search_failure,word_search_time_sec
discontinuous,6.mp3,1,long,spacebar,0.6380549999999996,True,False,12.052
discontinuous,6.mp3,2,short,spacebar,1.0694600000000065,True,False,9.405
discontinuous,6.mp3,3,long,spacebar,1.3765999999999963,True,False,21.388
discontinuous,6.mp3,4,long,spacebar,0.8634329999999864,True,False,27.316
discontinuous,6.mp3,5,short,spacebar,1.0115649999999619,True,False,42.369
keyword2,8.mp3,1,short,timeout,,False,True,
keyword2,8.mp3,2,short,spacebar,1.505714999999995,True,False,6.323
keyword2,8.mp3,3,short,spacebar,0.5490150000000256,True,False,4.426
keyword2,8.mp3,4,long,spacebar,0.6074590000000057,True,False,26.016
keyword2,8.mp3,5,short,spacebar,0.5542590000000018,True,False,4.523
keyword,7.mp3,1,long,spacebar,0.6039689999999993,True,False,3.71
keyword,7.mp3,2,short,spacebar,0.8475920000000059,True,False,1.569
keyword,7.mp3,3,short,spacebar,0.5855949999999837,True,False,2.248
keyword,7.mp3,4,long,spacebar,1.1075419999999951,True,False,9.734
keyword,7.mp3,5,long,spacebar,0.5234809999999754,True,False,16.36
sentence,10.mp3,1,short,spacebar,0.6045190000000034,True,False,12.754
sentence,10.mp3,2,short,spacebar,1.039393000000004,True,False,2.584
sentence,10.mp3,3,long,spacebar,0.613472999999999,True,False,35.439
sentence,10.mp3,4,short,spacebar,0.9499449999999854,True,False,3.893
sentence,10.mp3,5,short,spacebar,0.6106899999999769,True,False,44.843
word,9.mp3,1,short,spacebar,0.5725529999999992,True,False,8.658
word,9.mp3,2,short,spacebar,0.4778309999999948,True,False,10.069
word,9.mp3,3,short,spacebar,0.6976089999999999,True,False,12.092
word,9.mp3,4,long,spacebar,0.36658800000000724,True,False,25.295
word,9.mp3,5,short,spacebar,0.698882000000026,True,False,9.608
